repo_name,count
benglard/ConvNetPy,2
the-virtual-brain/tvb-library,2
gwtaylor/theano-rnn,2
ringw/MetaOMR,2
hal3/ciml,2
meren/anvio,2
VisTrails/VisTrails,2
cmusatyalab/faceswap,2
fridiculous/django-estimators,2
benhamner/MachineLearning.jl,2
rhiever/datacleaner,2
grfiv/MNIST,2
nigroup/nideep,2
feynmanliang/bachbot,2
jmetzen/sparse-filtering,2
machinelearningnanodegree/stanford-cs231,2
aflag/captcha-study,2
derekgreene/dynamic-nmf,2
napsternxg/deepwalk_keras_igraph,2
icrtiou/coursera-ML,2
sveitser/kaggle_diabetic,2
totalgood/twip,2
chengsoonong/crowdastro,2
bbabenko/simple_convnet,2
datasciencebr/serenata-de-amor,2
yoonkim/kdd_2014,2
blaze/dask,2
fridiculous/estimators,2
zsdonghao/tensorlayer,2
BRML/climin,2
bhmm/bhmm,2
DigitalSlideArchive/HistomicsTK,2
songgc/loan-default-prediction,2
esa/pykep,2
SheffieldML/GPyOpt,1
zhaipro/easy12306,1
google/androguard,1
tjflexic/kaggle-word2vec-movie-reviews,1
sdemyanov/tensorflow-worklab,1
hpssjellis/tensorflow-udacity-deep-learning,1
tabacof/bayesian-nn-uncertainty,1
Zebreu/ConvolutionalEmotion,1
SalmaanP/samacharbot2,1
kgori/treeCl,1
sbos/AdaGram.jl,1
abewley/sort,1
makokal/funzo,1
energyPATHWAYS/energyPATHWAYS,1
jamessdixon/Kaggle.HomeDepot,1
mpatacchiola/deepgaze,1
jonathanstrong/tmetrics,1
clips/topbox,1
breuderink/eegtools,1
automl/RoBO,1
GGiecold/DBSCAN_multiplex,1
philkr/magic_init,1
lllcho/CAPTCHA-breaking,1
jakevdp/PythonDataScienceHandbook,1
openeemeter/eemeter,1
zacstewart/kaggle_seeclickfix,1
ekzhu/datasketch,1
zelros/bunt,1
ClickSecurity/data_hacking,1
christianreimer/treescore,1
EmergentSystemLabStudent/NPB_DAA,1
rasbt/pattern_classification,1
ogrisel/keras,1
zake7749/Chatbot,1
bzamecnik/tfr,1
commonsense/divisi2,1
FRESNA/PyPSA,1
colincsl/TemporalConvolutionalNetworks,1
breadada/mieSys,1
ustcdane/annotated_jieba,1
leriomaggio/deep-learning-keras-tensorflow,1
skylergrammer/SimulatedAnnealing,1
cggh/scikit-allel,1
probcomp/crosscat,1
sobhe/hazm,1
crowdresearch/crowdsource-platform,1
CIFASIS/OS-fuzzing,1
acutesoftware/AIKIF,1
esa/pagmo,1
RuiShu/Neural-Net-Bayesian-Optimization,1
gieseke/bufferkdtree,1
machenslab/dPCA,1
wnd-charm/wnd-charm,1
delta24/horus,1
jiyfeng/RSTParser,1
bmtgoncalves/Mining-Georeferenced-Data,1
TeamSPoon/PrologMUD,1
giansegato/berlin-devfest-2016-backend,1
cgpotts/cs224u,1
ejhumphrey/icml16-dml,1
sunshineatnoon/fast-rcnn,1
dshean/iceflow,1
jbhuang0604/WSL,1
ilyakava/kaggle-dr,1
bitsofbits/kaggle_grasp_and_lift_eeg_detection,1
googledatalab/pydatalab,1
mirjalil/pyclust,1
mailgun/talon,1
IndicoDataSolutions/ClusterRSS,1
DJCordhose/big-data-visualization,1
sjwhitworth/golearn,1
dswah/sgcrfpy,1
ChristianSch/numerflow,1
DmitryUlyanov/fast-neural-doodle,1
datamade/parserator,1
DigitalGlobe/mltools,1
tqchen/tinyflow,1
