line,path,repo_name
from sklearn import metrics,Sentiments/learner.py,serendio-labs-stage/diskoveror-ml-trainer
from sklearn import metrics,serving/src/notebooks/zz_old/TensorFlow/SkFlow_DEPRECATED/text_classification.py,fluxcapacitor/education.ml
from sklearn import metrics,tensorflow/examples/skflow/mnist.py,marmarko/ml101
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,sandeepdsouza93/TensorFlow-15712
from sklearn import metrics,tensorflow/examples/learn/hdf5_classification.py,ibmsoe/tensorflow
from sklearn import metrics,tensorflow/examples/learn/boston.py,ville-k/tensorflow
from sklearn import metrics,tests/scikitlearn_dbscan.py,yaukwankiu/armor
from sklearn import metrics,machine-learning-python/programas/ML1.py,annavicente/Tatooine
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,benoitsteiner/tensorflow-xsmm
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,terrytangyuan/tensorflow
from sklearn import metrics,scikit-learn-c604ac39ad0e5b066d964df3e8f31ba7ebda1e0e/examples/cluster/plot_affinity_propagation.py,RPGOne/Skynet
from sklearn import metrics,scripts/plot_sample.py,iaklampanos/bde-pilot-2
from sklearn import metrics,projects/scikit-learn-master/doc/tutorial/text_analytics/solutions/exercise_02_sentiment.py,DailyActie/Surrogate-Model
from sklearn import metrics,evaluation.py,xiaohan2012/lst
from sklearn import metrics,python/sklearn_vw.py,hal3/vowpal_wabbit
from sklearn import metrics,tensorflow/examples/learn/boston.py,tntnatbry/tensorflow
from sklearn import metrics,common/feature_finder_2.py,furgerf/kaggle-projects
from sklearn import metrics,Python_scripts_result_analysis/plots.py,alinasirbu/eurora_job_power_prediction
from sklearn import metrics,tensorflow/examples/skflow/out_of_core_data_classification.py,naturali/tensorflow
from sklearn import metrics,boston.py,reetawwsum/Supervised-Learning
from sklearn import metrics,examples/gender.py,youralien/Passage
from sklearn import metrics,tensorflow/examples/learn/multiple_gpu.py,eerwitt/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_custom_model.py,yaroslavvb/tensorflow
from sklearn import metrics,baseline_knn_mi_webKB.py,achyudhk/Ensemble-Text-Classification
from sklearn import metrics,explore.py,kn-olin/insults
from sklearn import metrics,plat/bin/atvec.py,dribnet/plat
from sklearn import metrics,Recomender System/Recomender System/matrix_test_utilities.py,TechnicHail/COMP188
from sklearn import metrics,ML/OfflineLearning.py,Nik0l/UTemPro
from sklearn import metrics,tensorflow/examples/learn/hdf5_classification.py,benoitsteiner/tensorflow
from sklearn import metrics,regression.py,javierarilos/market_session
from sklearn import metrics,tensorflow/examples/learn/boston.py,gojira/tensorflow
from sklearn import metrics,tensorflow/examples/skflow/mnist.py,Pingjun/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris.py,vrv/tensorflow
from sklearn import metrics,examples/extensions/kmeans.py,halwai/cvxpy
from sklearn import metrics,tensorflow/examples/learn/boston.py,sandeepgupta2k4/tensorflow
from sklearn import metrics,tensorflow/examples/learn/iris_run_config.py,yaroslavvb/tensorflow
from sklearn import metrics,rojak-analyzer/rojak_ovr.py,bobbypriambodo/rojak
from sklearn import metrics,machine_learning/movie_reviews_example.py,chrisjdavie/shares
from sklearn import metrics,tensorflow/examples/learn/iris_val_based_early_stopping.py,Bismarrck/tensorflow
from sklearn import metrics,Clustering/helpers/processClusters/drawClustersGrill.py,mjescobar/RF_Estimation
from sklearn import metrics,ch08/chapter.py,sourabhdattawad/BuildingMachineLearningSystemsWithPython
from sklearn import metrics,tools/python/booking_hotels_quality.py,alexzatsepin/omim
from sklearn import metrics,tensorflow/examples/learn/iris_custom_decay_dnn.py,4Catalyzer/tensorflow
from sklearn import metrics,eval_quality_kmeans.py,VNGResearch/doc2vec
from sklearn import metrics,_module45/CCCPCC_16_32.py,KennyCandy/HAR
from sklearn import metrics,tensorflow/examples/skflow/text_classification_character_rnn.py,petewarden/tensorflow_makefile
from sklearn import metrics,kmeans_example.py,JeffAbrahamson/gtd
from sklearn import metrics,TextMining/Week3/ret.py,zollie/PASS
from sklearn import metrics,evaluation_20k.py,LAtanassov/py-mt-ontobasedcluster
from sklearn import metrics,module123/HAR_v4_2.py,KennyCandy/HAR
from sklearn import metrics,Python/Lasagne_V1.py,MLDGR/Kaggle_HomesiteQuoteConversion
from sklearn import metrics,tensorflow/examples/skflow/resnet.py,ivano666/tensorflow
from sklearn import metrics,skchem/data/converters/nmrshiftdb2.py,richlewis42/scikit-chem
from sklearn import metrics,examples/probabilistic_classification.py,ramon-oliveira/aorun
